ID,TYP,Q1A1,Q1A2,Q2A1R,Q2A2,Q2A3,Q3,Q4A1,Q4A2,Q4A3,Q4A4,Q4A5,Q4A6,Q4A7,Q5A1,Q5A2,Q5A3,Q5A4,Q5A5,Q5A6,Q5A7,Q6,Q7A1,Q7A2,Q7A3,Q8A1,Q8A2,Q8A3,Q8A4,Q8B1,Q8B2,Q8B3,Q8B4,Q9A1,Q9A2,Q9A3,Q9A4,Q9A5,Q9B1,Q9B2,Q9B3,Q9B4,Q9B5,Q10A1,Q10A2,Q10A3,Q10A4,Q10B1,Q10B2,Q10B3,Q10B4,Q11A1,Q11A2,Q11B1,Q11B2,Q12A1,Q12A2,Q12B1,Q12B2,Q13A1,Q13A2,Q13A3,Q13A4,Q13B1,Q13B2,Q13B3,Q13B4,Q14A1,Q14A2,Q14A3,Q14A4,Q14B1,Q14B2,Q14B3,Q14B4,Q15A1,Q15A2,Q15A3,Q15A4,Q15A5,Q15A6,Q16A01,Q16A02,Q16A03,Q16A04,Q16A05,Q16A06,Q16A07,Q16A08,Q16A09,Q16A10,Q17A1,Q17A2,Q17A3,Q17A4,Q18A1,Q18A2,Q18A3,Q18A4,Q19A1,Q19A2,Q19A3,Q19A4,Q19A5,Q19A6,Q19A7,Q19A8,Q20A1,Q20A2,Q20A3,Q20A4,Q20A5,Q21A,Q21B,Q21AA1,Q21AA2,Q21AA3,Q21AA4,Q21AA5,Q21AA6,Q21AA7,Q21BA1,Q21BA2,Q21BA3,Q21BA4,Q21BB1,Q21BB2,Q21BB3,Q21BB4,Q21BC1,Q21BC2,Q21BC3,Q21BC4,Q21BCA11,Q21BCA12,Q21BCA21,Q21BCA22,Q21BCA31,Q21BCA32,Q21BCA41,Q21BCA42,Q21C1,Q21C2,Q21C3,Q22A01,Q22A02,Q22A03,Q22A04,Q22A05,Q22A06,Q22A07,Q22A08,Q22A09,Q22A10,Q22A11,Q22A12,Q22A13,Q22A14,Q22A15,Q22A16,Q22A17,Q22A18,Q22A19,Q22A20,Q22A21,Q22A22,Q22A23,Q22A24,Q22A25,Q22A26,Q22A27,Q22A28,Q23,Q24A1,Q24A2,Q24A3,Q24A4,Q25,Q26,Q27,Q28A01,Q28A02,Q28A03,Q28A04,Q28A05,Q28A06,Q28A07,Q28A08,Q28A09,Q28A10,Q28A11,Q28A12,Q28A13,Q29A1,Q29A2,Q29A3,Q29A4,Q29A5,Q29A6,Q29A7,CDQ1,CDQ2,CDQ3,CDQ3A,CDQ4,CDQ5,CDQ6,CDQ6A,CDQ7,CDQ8,CDQ9,CDQ10,CDQ11A1,CDQ11A2,CDQ11A3,CDQ11A4,CDQ11A5,CDQ11A6,CDQ11AA,CDQ12,CDQ13,CDQ13A1,CDQ13A2,CDQ13A3,CDQ13A4,CDQ13A5,CDQ13A6,CDQ13A7,CDQ13A8,CDQ14,CDQ15,CDQ161,CDQ162,CDQ163,wt
313871,3,1,2,1,2,2,1,3,3,3,3,3,3,3,3,4,3,3,3,3,3,1,30,30,0,3,3,3,3,4,3,2,3,2,2,3,2,2,3,3,3,3,3,3,2,2,3,4,3,3,3,3,2,2,2,2,2,3,3,2,2,2,2,3,2,3,3,2,2,3,2,3,2,3,2,3,4,2,2,2,3,3,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,1,1,1,2,1,2,1,,3,,3,,,,9,1,,,,,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,4,3,4,3,3,2,3,3,4,3,3,3,3,3,3,3,4,3,3,2,60,1,4,,2,1,4,2,3,1,1,,,,,,,,,1,2,1,,,,,,,,2,3,15,1,1,0.84615385
312163,3,1,1,1,1,2,1,4,3,3,3,3,2,3,3,3,3,3,3,2,3,1,7,30,5,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,3,2,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,2,3,3,3,2,3,2,2,2,2,2,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,,,,,,,,,4,4,4,,,3,,5,6,7,8,,,,12,,14,,,,18,,,,,,,25,,,,2,,,,,,,,4,4,4,4,4,3,3,3,3,3,3,4,4,3,3,3,3,3,2,2,51,1,1,2,2,2,2,,4,1,2,1,0,1,0,0,0,0,2,3,2,1,,3,,,,,,2,5,9,1,1,1.62121212
313644,3,1,2,1,2,2,1,3,3,2,3,2,2,2,2,3,2,3,2,3,2,1,20,30,0,4,3,3,2,3,3,2,1,3,3,2,3,3,3,3,2,2,2,3,3,2,2,4,3,2,1,3,2,3,2,3,2,2,2,2,3,2,2,2,3,2,3,3,2,3,2,3,3,2,3,3,3,2,3,2,3,3,3,2,3,2,3,2,3,3,3,3,2,3,3,3,3,4,3,3,2,2,2,3,3,2,3,3,3,4,3,3,4,3,3,3,3,3,3,4,4,1,1,1,1,1,1,1,1,3,3,4,3,,,,,,,,,4,3,4,,,,4,,6,,8,,10,,,,,,,,,19,,,22,,,25,,,,3,,,,,,,,3,2,3,3,2,3,4,3,4,4,3,3,4,3,3,4,3,2,3,3,51,1,1,1,2,1,5,1,3,1,1,,,,,,,,,2,2,1,,3,,,,,,2,6,11,1,1,0.63636364
308687,3,2,1,1,2,2,1,3,4,2,3,3,3,3,3,3,3,2,3,3,3,1,1,5,0,2,2,3,3,3,3,2,2,3,3,3,3,3,2,3,3,2,2,3,3,3,3,3,2,2,3,3,3,2,2,2,2,2,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,2,2,3,3,2,3,2,2,3,4,3,3,3,2,2,3,3,2,2,2,2,1,3,2,3,2,3,3,2,2,3,2,2,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,,,,,,,,,,,,,,,,,3,3,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,4,4,3,3,2,3,3,3,3,3,3,3,3,3,4,4,3,2,3,19,1,2,,2,1,14,,3,1,2,2,,,,,,,,2,2,,,3,,,,,,2,4,9,1,1,1.66666667
314551,3,2,1,1,2,2,1,2,2,1,1,1,2,1,4,3,3,4,2,2,3,1,20,30,0,4,3,3,2,2,2,3,3,3,4,2,3,3,4,4,2,2,3,3,2,2,3,4,3,2,2,2,2,2,2,3,2,3,2,3,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,3,3,3,3,3,3,3,2,3,3,3,3,2,2,2,3,3,2,3,3,3,2,3,3,3,2,2,4,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,4,1,1,1,2,1,1,1,,3,3,3,,,,,,,,,,4,4,3,,,3,,5,,,,,,,,,,15,,,,19,,,,,,,,,,4,,,,,,,,3,2,2,1,2,2,2,2,3,2,4,3,2,3,3,4,3,3,2,3,46,1,1,2,2,2,14,,4,1,1,,,,,,,,,2,2,1,,3,,,,,,2,4,5,1,1,0.76923077
309814,3,1,2,1,2,2,1,2,3,2,3,3,2,2,3,3,3,3,3,3,3,1,10,30,0,4,3,2,2,3,3,2,3,2,2,2,3,3,3,2,2,3,3,2,3,2,2,3,2,3,2,3,2,2,2,3,3,2,3,2,2,2,2,2,2,2,3,2,2,3,2,2,3,2,3,3,4,3,2,2,2,2,3,2,3,2,3,2,3,2,2,2,2,3,2,2,3,2,2,3,3,2,2,2,2,3,3,3,3,2,2,2,3,3,3,3,4,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,,,,,,,,1,2,4,3,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,4,3,3,4,3,3,3,4,2,4,3,2,3,3,4,3,3,3,3,56,2,4,,1,2,11,,3,1,1,,,,,,,,,3,2,,,3,,,,,,2,4,1,1,1,2.00000000
310348,3,1,1,1,2,2,1,2,2,3,3,2,3,3,3,3,3,3,3,3,3,1,15,30,0,3,2,3,3,4,2,3,3,2,3,3,3,3,2,3,3,2,3,4,3,3,2,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,2,3,3,3,3,4,3,3,3,3,4,3,3,4,3,3,2,2,2,1,3,2,2,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,3,3,3,3,,,,,,,,,4,4,4,,2,,,5,,,8,,,,12,13,14,15,16,,,19,,,,,,,,,,4,,,,,,,,3,4,4,2,4,3,4,2,3,3,4,3,3,3,3,3,2,3,2,2,52,2,4,,1,2,14,,3,1,2,2,,,,,,,,3,2,1,,,,,,,,2,2,1,1,1,2.00000000
309221,3,1,2,1,1,1,1,2,2,2,2,2,2,2,3,2,2,3,2,3,2,1,0,30,10,2,2,2,2,4,2,4,3,2,2,2,2,2,3,4,3,3,2,2,2,2,3,4,4,4,2,2,2,3,3,2,2,3,3,2,2,2,2,3,2,2,3,2,2,2,2,3,2,3,3,2,3,4,3,3,4,4,4,4,4,4,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,4,4,3,3,2,3,3,3,3,3,3,4,5,5,4,4,2,3,5,1,1,1,1,1,1,1,1,4,4,4,4,,,,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,2,2,4,2,4,2,2,2,2,2,2,5,4,4,3,2,4,2,2,2,64,1,1,2,1,2,14,,2,1,1,,,,,,,,,1,2,1,,3,,,,,,2,3,16,1,1,0.94594595
313831,3,1,2,1,1,2,1,2,3,2,2,3,2,3,3,2,3,2,3,2,3,1,20,30,0,3,3,3,2,4,3,3,2,3,2,3,2,3,3,4,3,3,2,3,4,3,3,3,3,2,2,3,2,3,2,3,2,2,2,3,3,2,2,3,3,2,3,3,3,2,2,3,3,3,2,3,4,3,4,3,3,3,3,4,3,4,3,3,3,4,3,3,4,3,3,3,4,3,3,3,4,3,4,3,4,3,3,3,4,3,3,3,4,3,3,3,4,3,4,3,4,1,1,1,1,1,1,1,1,3,4,3,4,,,,,,,,,4,4,4,,,,,5,,,8,,10,,,,,,,17,,,20,,,,24,,,,,3,,,,,,,,3,4,3,4,3,4,3,4,5,4,3,4,4,4,3,4,5,4,3,4,48,2,1,1,2,1,9,,3,1,2,2,,,,,,,,1,2,1,,3,,,,,,2,7,11,1,1,0.66666667
311272,3,1,2,1,2,2,1,3,2,3,2,2,3,2,3,2,3,2,2,2,3,1,20,30,0,3,3,2,3,3,4,3,3,3,2,3,2,3,3,4,4,3,3,2,2,3,2,3,3,4,3,2,3,3,3,3,2,3,3,3,2,3,2,3,3,2,3,3,2,2,3,3,2,3,3,3,4,3,4,3,3,3,2,3,2,2,3,2,3,2,3,3,4,3,3,3,4,3,3,2,3,2,3,2,3,3,3,3,3,2,2,3,3,4,3,3,4,4,3,3,3,1,1,1,1,1,1,1,1,3,4,3,3,,,,,,,,,4,5,4,,,3,,,,7,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,4,2,3,3,4,4,3,4,3,4,4,4,3,4,3,4,3,3,4,3,28,2,4,,2,2,4,2,3,1,2,2,,,,,,,,3,2,,2,,4,,,,,2,5,9,1,1,1.00000000
305030,3,1,2,1,2,2,1,3,3,2,3,2,3,3,2,3,3,3,3,3,3,1,0,25,0,2,1,1,2,3,1,3,2,2,3,1,3,1,1,3,2,1,1,1,1,1,1,1,2,3,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,3,1,1,1,1,1,1,2,1,2,2,3,2,2,3,3,3,2,3,2,3,2,2,3,1,3,2,3,2,2,3,2,1,2,3,2,3,2,2,2,2,2,3,2,3,2,3,3,3,3,3,3,2,3,2,1,1,2,1,1,1,,2,3,3,,,,,,,,,2,1,4,3,4,,,,4,,,,,,,,,,,15,,,,,,,,,,,,,,3,,,,,,,,3,4,4,2,1,1,2,1,2,1,1,2,3,4,3,2,1,2,2,1,64,1,1,2,2,1,9,,2,1,1,,,,,,,,,3,2,1,,,,,,,,2,3,4,1,1,1.59722222
310832,3,1,1,1,1,2,1,2,3,3,2,2,3,2,3,3,3,3,3,3,3,1,20,28,0,4,2,3,2,3,2,4,2,3,4,2,3,2,3,4,2,3,2,3,4,3,2,3,4,3,2,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,3,3,2,3,3,2,3,2,3,3,4,3,3,3,3,3,3,3,2,2,3,3,2,3,3,3,3,2,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,2,3,3,3,3,4,3,4,3,2,3,3,1,1,1,2,1,1,2,,3,3,,,,,,,1,7,,,3,4,3,,,,,,,,,,10,,,13,,,16,,,,,,,,,,,,,4,,,,,,,,2,4,2,2,2,3,3,2,2,3,2,3,2,4,3,3,2,3,2,3,47,1,1,2,2,2,5,1,4,1,1,,,,,,,,,2,2,1,,3,,,,,,2,5,1,1,1,1.75000000
313595,3,2,1,1,2,2,1,4,4,4,3,3,3,4,3,4,3,3,4,3,3,1,27,30,0,3,3,3,3,2,2,2,2,2,3,2,3,2,2,3,2,3,2,3,3,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,2,3,4,2,3,2,2,3,3,4,4,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3,4,2,3,3,3,3,3,3,2,2,2,2,4,4,4,4,3,3,4,3,3,1,1,1,1,2,2,2,2,,,,,5,3,1,2,1,9,1,9,4,4,4,,,,4,5,,,,,10,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,4,4,3,3,4,4,3,4,4,4,4,4,4,3,4,3,3,3,3,18,2,2,,2,1,12,,3,3,2,2,,,,,,,,3,2,,,3,,,,,,2,4,1,1,1,1.50000000
313930,3,1,2,1,2,2,1,2,3,2,3,2,3,3,3,2,3,2,2,2,2,1,15,30,0,3,3,2,2,4,3,2,2,3,3,4,3,2,2,3,2,3,3,3,3,2,2,4,3,2,3,3,1,1,1,3,2,3,2,3,3,2,2,3,3,2,3,3,3,4,3,3,3,2,3,3,3,2,3,2,3,3,4,3,4,3,2,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,2,3,3,2,3,3,3,4,3,3,3,3,3,3,4,3,3,4,4,1,1,1,1,1,1,1,1,3,4,4,3,,,,,,,,,4,4,4,,,,,5,,7,,9,10,,,,,,,,18,,,21,,23,,,,,,3,,,,,,,,3,2,3,2,3,2,3,4,3,2,3,3,3,4,3,4,3,4,3,4,62,1,4,,1,1,7,,2,2,1,,,,,,,,,3,2,1,,3,,,,,,2,3,11,1,1,0.75000000
313472,3,1,1,1,2,2,1,2,1,2,2,3,2,2,3,4,3,4,4,3,3,1,10,30,0,3,3,3,3,4,3,2,3,2,2,3,3,3,2,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,2,2,3,4,3,3,2,3,2,2,3,3,3,2,3,3,2,2,2,2,3,4,3,2,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3,3,4,3,3,3,3,4,3,4,3,3,3,4,1,1,1,1,1,1,1,2,3,3,4,,,,,,,,3,6,4,4,4,,2,,,,,7,,9,,,,13,,,,,18,,,,,,,,,,,3,,,,,,,,2,3,2,3,3,3,4,3,4,2,3,3,3,4,3,2,4,4,3,3,59,1,2,,2,2,14,,4,1,1,,,,,,,,,2,2,1,,,,,,,,2,7,7,2,2,0.77777778
313268,3,1,2,1,2,2,1,3,2,2,3,2,2,2,4,3,4,4,3,4,4,1,5,25,0,3,2,3,2,4,3,3,2,2,3,3,3,3,3,2,2,2,2,2,3,3,2,3,4,3,3,3,3,3,3,2,2,3,3,2,3,2,2,2,3,3,3,2,3,2,3,3,4,3,3,2,3,1,2,2,2,3,4,3,2,3,2,2,3,2,3,3,2,2,3,3,3,4,3,3,2,3,4,3,2,3,3,3,3,2,3,3,3,4,3,3,4,4,4,3,3,1,1,1,1,1,1,1,2,3,4,3,,,,,,,,4,3,4,3,4,,,3,,5,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,4,3,2,4,3,4,3,2,3,3,3,2,3,4,3,4,3,3,4,3,57,2,3,,2,2,5,1,4,1,2,2,,,,,,,,1,2,1,,,4,,,,,2,4,16,1,1,1.00000000
309767,3,1,2,1,2,2,1,4,3,4,3,4,3,3,3,4,3,4,3,3,4,1,6,7,0,3,2,3,2,4,3,4,3,2,3,3,3,3,4,3,4,3,3,3,3,2,3,4,3,2,3,2,2,3,2,2,3,3,2,3,2,3,2,4,3,4,3,4,3,4,3,4,3,2,3,2,1,3,2,2,1,3,4,3,3,2,3,3,4,3,2,4,3,4,3,4,3,4,3,3,4,3,4,3,3,4,3,4,3,4,3,3,2,4,5,4,5,3,4,4,2,1,1,1,1,1,1,1,1,4,3,4,3,,,,,,,,,4,5,4,,,,,,6,,,,,,,,,,,,,,,,,,,,26,,,2,,,,,,,,3,4,4,3,4,4,3,4,4,3,4,3,4,4,3,5,4,3,4,4,58,1,1,2,2,2,7,,3,1,1,,,,,,,,,3,2,1,,3,,,,,,2,3,1,1,1,1.66666667
312386,3,2,2,1,2,2,1,2,3,2,3,3,2,2,3,2,3,2,3,2,3,1,0,30,0,1,1,1,1,3,3,3,3,2,1,2,2,2,2,3,2,3,2,1,1,1,1,3,2,3,3,1,1,3,2,3,2,4,4,1,1,1,1,4,3,4,4,1,2,2,1,4,3,4,4,2,1,2,2,2,2,3,2,3,4,3,3,2,3,3,3,2,1,2,2,3,4,4,3,3,2,3,4,3,2,3,3,3,3,4,3,3,1,1,3,2,3,2,3,3,3,1,1,1,2,1,1,1,,3,4,3,,,,,,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,3,4,3,4,3,4,4,3,3,4,4,4,4,4,3,4,4,5,4,4,61,2,4,,2,2,11,,3,1,2,2,,,,,,,,2,2,,,3,,,6,,,2,4,9,1,1,1.50000000
312499,3,2,2,1,2,2,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,1,0,30,0,1,1,1,1,3,2,3,3,1,1,1,1,1,3,4,3,4,3,1,1,1,1,3,4,3,3,1,1,3,3,1,1,4,3,1,1,1,1,3,4,3,4,1,1,1,1,3,3,4,3,1,1,1,1,1,1,3,2,4,3,3,4,3,4,3,3,3,4,3,3,3,3,3,3,1,2,2,1,2,1,2,2,3,4,3,4,3,1,4,3,4,3,4,4,3,4,1,1,1,2,1,1,1,,3,2,3,,,,,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,4,3,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,5,4,4,69,1,4,,1,1,14,,1,3,1,,,,,,,,,2,2,1,,,,,,,,1,1,9,1,1,1.40000000
312523,3,1,2,1,2,2,1,3,3,3,3,3,3,3,3,4,3,4,3,4,3,1,0,10,0,1,1,1,1,3,3,2,3,1,1,1,1,1,4,3,4,4,4,2,1,2,2,4,3,4,4,1,1,4,4,1,1,4,3,1,1,1,1,4,3,4,4,1,1,1,1,3,2,3,3,3,4,3,3,4,3,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,3,3,4,4,3,4,4,3,4,4,4,4,3,4,3,4,3,3,3,2,4,3,3,4,3,1,1,1,2,1,1,1,,1,2,1,,,,,,,,,,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,3,4,3,2,4,3,4,3,2,3,4,3,3,4,3,4,3,5,4,4,51,1,3,,2,2,14,,3,1,1,,,,,,,,,3,2,1,,3,4,,,,,1,2,9,1,1,1.88888889
312594,3,1,1,1,2,2,1,2,3,2,2,2,2,2,3,3,4,3,2,2,3,1,0,30,0,3,1,3,1,3,1,2,2,2,2,1,1,1,1,3,1,1,1,4,3,3,3,4,2,3,2,3,2,2,2,2,3,2,3,2,2,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,2,2,2,2,3,2,2,2,1,3,2,2,2,2,2,2,2,2,3,4,2,3,4,3,2,3,3,1,1,1,1,1,1,1,1,3,3,3,3,,,,,,,,,4,3,3,1,2,3,,,,,,,,,12,13,14,,,,,,,21,,,,,,,,4,,,,,,,,2,2,2,1,1,2,2,2,4,2,2,5,5,4,3,3,3,2,2,2,62,1,1,1,2,2,5,2,3,3,1,,,,,,,,,3,2,1,,,,,,,,2,4,7,2,2,0.94594595
313835,3,1,2,1,2,2,1,3,2,2,3,2,1,2,3,2,3,2,3,2,2,1,25,30,0,3,3,2,1,3,3,3,2,3,4,3,2,1,3,3,2,1,1,3,3,3,2,3,3,3,1,2,2,1,1,3,2,2,2,3,3,2,3,2,2,3,2,2,3,3,2,3,2,3,2,3,3,2,3,2,3,3,3,4,3,2,3,2,3,3,2,3,3,2,3,3,4,3,4,3,3,4,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,4,1,1,1,1,1,1,1,1,3,4,3,4,,,,,,,,,3,4,3,,,,,5,,,,9,10,,,,,,,,,,,21,,23,,,,,,3,,,,,,,,3,4,2,3,2,2,2,3,2,3,2,3,3,3,3,4,3,2,3,3,62,2,1,1,1,1,11,,2,2,2,1,0,,0,0,0,5,,2,2,1,,3,,,,,,2,4,11,1,1,0.62222222
310891,3,2,2,1,2,2,1,1,2,1,2,1,2,2,1,2,2,3,2,2,2,1,0,28,0,3,3,2,2,2,3,2,2,2,2,2,2,3,2,2,2,1,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,3,2,3,2,2,2,3,2,3,2,2,2,2,2,3,2,2,2,2,3,2,3,2,2,2,3,2,1,1,2,2,2,1,,,,3,,,7,9,,,,,,,3,2,2,,,,4,,6,,,,,,,,,15,,,,19,,,,,,,,,,2,,,,,,,,2,3,2,3,3,3,2,2,3,2,3,2,3,2,3,3,3,2,2,3,65,1,5,,1,1,14,,2,1,1,,,,,,,,,1,2,1,,3,,,,,,2,3,10,2,2,0.66666667
313907,3,1,2,1,2,2,1,3,3,4,3,2,3,3,3,2,3,3,2,3,3,1,15,30,0,3,2,1,1,3,3,2,3,3,2,3,2,3,2,3,2,1,2,3,3,2,3,3,2,3,2,3,2,2,2,3,2,3,2,3,2,3,3,3,3,2,3,3,3,3,2,3,3,4,3,3,4,3,3,4,3,3,2,3,2,3,4,3,2,3,3,3,4,3,3,3,4,3,3,3,4,3,4,3,3,4,3,3,4,3,4,3,3,3,3,3,4,3,4,3,4,1,1,1,1,1,1,1,1,3,2,3,2,,,,,,,,,4,3,4,,,,,5,,7,8,,,,,,14,,,17,,,20,,,,,,,,,2,,,,,,,,3,2,4,4,2,3,4,2,3,3,4,3,3,4,3,5,4,3,4,4,65,1,1,2,1,1,14,,2,1,2,2,,,,,,,,2,2,1,,3,,,,,,2,5,11,1,1,0.65753425
311972,3,2,2,1,2,2,1,3,2,3,3,2,3,3,3,4,3,2,3,3,3,1,0,30,0,1,1,1,1,2,2,3,2,1,2,1,1,1,1,2,1,2,1,2,1,2,2,2,1,2,2,2,3,2,2,2,2,3,2,2,3,2,3,3,2,3,2,3,2,3,2,3,3,3,2,3,2,3,2,3,3,3,2,3,2,3,2,3,3,3,3,3,2,2,3,2,3,2,3,2,3,2,2,3,2,3,2,3,2,3,2,3,3,3,4,3,4,3,4,3,3,1,1,1,1,1,1,1,1,3,2,3,3,,,,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,3,4,4,3,4,3,3,4,3,4,3,3,3,4,3,3,2,4,3,4,69,1,1,2,2,2,4,1,3,1,1,,,,,,,,,3,2,1,,,,,,,,2,2,9,1,1,1.59722222
313186,3,1,2,1,2,2,1,2,3,3,2,2,2,2,2,2,3,2,2,2,2,1,20,30,0,2,2,3,2,2,3,2,3,3,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,3,2,3,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,3,2,2,3,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,3,3,3,,,,,,,,,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,3,2,3,3,2,2,3,3,2,2,3,3,3,2,3,3,2,2,2,2,61,1,1,2,2,2,9,,2,1,1,,,,,,,,,2,2,1,,,,,,,,2,2,2,1,1,0.94594595
310811,3,2,2,1,2,2,1,3,2,3,2,3,2,2,2,2,3,3,2,2,2,1,0,24,0,3,1,2,2,3,1,2,2,2,3,3,2,2,2,3,2,2,2,3,3,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,2,2,1,2,2,3,2,2,2,2,3,2,2,3,2,2,2,2,2,3,3,2,2,2,3,2,2,2,2,3,3,3,3,3,2,3,3,2,2,3,3,2,3,3,3,4,3,3,3,3,3,2,2,3,4,3,3,4,1,1,1,2,1,1,2,,2,2,,,,,,,7,4,,,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3,,,,,,,,4,2,3,3,4,4,3,3,2,2,3,2,3,3,3,4,3,3,2,3,65,1,4,,2,1,7,,3,1,1,,,,,,,,,2,2,1,,,,,,,,2,4,1,1,1,1.50000000
313942,3,1,2,1,2,2,1,2,3,3,2,2,3,2,3,3,2,2,3,2,3,1,30,30,0,3,3,3,2,3,3,2,2,2,3,2,2,2,3,2,3,2,2,3,3,2,2,3,2,3,2,2,2,2,3,3,2,3,3,2,3,2,3,2,3,2,2,2,2,3,2,2,3,3,2,3,3,2,2,2,3,3,4,2,2,3,3,2,3,3,3,3,3,3,3,3,4,3,3,3,2,3,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1,1,1,2,1,2,1,,3,,3,,,,9,1,,,,,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,,,,2,3,4,3,2,4,4,4,3,3,2,2,3,4,3,4,3,3,3,4,51,2,1,1,2,2,11,,3,1,2,2,,,,,,,,2,2,1,,,,,,,,2,3,15,1,1,0.85714286
314564,3,1,2,1,2,2,1,2,3,2,2,2,3,2,4,4,3,3,3,2,3,1,10,30,0,3,2,2,2,4,2,3,2,3,4,2,2,2,3,4,3,2,2,2,2,3,3,3,3,2,3,2,3,3,2,2,2,3,2,2,2,2,3,2,3,2,2,3,3,2,2,2,2,2,3,3,3,2,2,3,2,3,3,2,3,4,3,3,2,3,3,3,4,3,3,3,3,2,3,3,3,3,2,3,3,2,3,3,3,2,2,3,4,3,4,4,3,3,3,3,4,1,1,1,2,1,1,1,,3,2,2,,,,,,,,,,4,3,4,,,3,,,,,,,,,,,,,,,18,19,,,,,,,,,,4,,,,,,,,3,3,4,4,3,3,3,2,3,3,4,3,3,4,3,4,3,3,3,3,55,2,1,2,2,2,11,,4,1,2,2,,,,,,,,2,2,1,,3,,,,,,2,5,5,1,1,0.82352941
